address,beds,baths,area,price,zestimate,best_deal,price per sq ft,detailUrl
"987 N 1850th St W, Lehi, UT 84043",6,4.0,3813,"$785,000",0,785000,205.8746393915552,https://www.zillow.com/homedetails/987-N-1850th-St-W-Lehi-UT-84043/2067140087_zpid/
"3564 Wishbone Pl, Kamas, UT 84036",,0.0,1,"$799,000",0,799000,799000.0,https://www.zillow.com/homedetails/3564-Wishbone-Pl-Kamas-UT-84036/2062964974_zpid/
"755 S Oak Ln, Kamas, UT 84036",4,4.0,2763,"$799,106",0,799106,289.2167933405718,https://www.zillow.com/homedetails/755-S-Oak-Ln-Kamas-UT-84036/2063082393_zpid/
"2099 E 750 N #43, Spanish Fork, UT 84660",4,5.0,4809,"$823,650",0,823650,171.27261384903306,https://www.zillow.com/homedetails/2099-E-750-N-43-Spanish-Fork-UT-84660/2061014113_zpid/
"123 Sierra Bonita Ct, Mapleton, UT 84664",7,5.0,4380,"$875,000",0,875000,199.7716894977169,https://www.zillow.com/homedetails/123-Sierra-Bonita-Ct-Mapleton-UT-84664/2061202708_zpid/
"299 S 3300 W #315, Layton, UT 84041",5,5.0,3894,"$889,900",0,889900,228.5310734463277,https://www.zillow.com/homedetails/299-S-3300-W-315-Layton-UT-84041/2061021520_zpid/
"4196 S Normandie Ln E, Salt Lake City, UT 84107",8,5.0,4366,"$895,000",0,895000,204.99312872194227,https://www.zillow.com/homedetails/4196-S-Normandie-Ln-E-Salt-Lake-City-UT-84107/2061018758_zpid/
"1215 W Interlaken Way #109, Midway, UT 84049",6,3.0,3328,"$899,900",0,899900,270.4026442307692,https://www.zillow.com/homedetails/1215-W-Interlaken-Way-109-Midway-UT-84049/2061707456_zpid/
"111 S Eagles Nest Ave #1, Lindon, UT 84042",4,3.0,4588,"$915,000",0,915000,199.43330427201394,https://www.zillow.com/homedetails/111-S-Eagles-Nest-Ave-1-Lindon-UT-84042/2062401017_zpid/
"95 E Aspen Dr #69, Park City, UT 84098",3,3.0,2550,"$970,000",0,970000,380.3921568627451,https://www.zillow.com/homedetails/95-E-Aspen-Dr-69-Park-City-UT-84098/2061616241_zpid/
"6010 N Fox Point Cir #C2, Park City, UT 84098",3,3.0,1467,"$975,000",0,975000,664.6216768916155,https://www.zillow.com/homedetails/6010-N-Fox-Point-Cir-C2-Park-City-UT-84098/68854785_zpid/
"2010 E Redondo Pl S, Salt Lake City, UT 84108",3,3.0,2188,"$985,000",0,985000,450.1828153564899,https://www.zillow.com/homedetails/2010-E-Redondo-Pl-S-Salt-Lake-City-UT-84108/2061144696_zpid/
"4376 E Churchill Dr, Provo, UT 84604",6,5.0,4306,"$998,000",0,998000,231.769623780771,https://www.zillow.com/homedetails/4376-E-Churchill-Dr-Provo-UT-84604/2061663618_zpid/
"3853 Rising Star Ln, Park City, UT 84060",6,9.0,12063,"$13,950,000",12927801,1022199,1156.4287490673962,https://www.zillow.com/homedetails/3853-Rising-Star-Ln-Park-City-UT-84060/68846851_zpid/
"133 W Sunny Brook Ct #213, Tooele, UT 84074",5,3.0,5523,"$1,074,900",0,1074900,194.62248777838133,https://www.zillow.com/homedetails/133-W-Sunny-Brook-Ct-213-Tooele-UT-84074/2061010653_zpid/
"4779 Balsam Dr, Park City, UT 84098",3,3.0,2664,"$1,100,000",0,1100000,412.91291291291293,https://www.zillow.com/homedetails/4779-Balsam-Dr-Park-City-UT-84098/68846353_zpid/
"7687 S Winterdale Cir #7689, Salt Lake City, UT 84121",8,6.0,3644,"$1,195,000",0,1195000,327.9363336992316,https://www.zillow.com/homedetails/7687-S-Winterdale-Cir-7689-Salt-Lake-City-UT-84121/2061136274_zpid/
"4696 W 10250 N, Highland, UT 84003",4,4.0,4628,"$1,199,900",0,1199900,259.2696629213483,https://www.zillow.com/homedetails/4696-W-10250-N-Highland-UT-84003/2062907459_zpid/
"8115 Glenwild Dr, Park City, UT 84098",4,6.0,6294,"$5,350,000",4146300,1203700,850.015888147442,https://www.zillow.com/homedetails/8115-Glenwild-Dr-Park-City-UT-84098/68842422_zpid/
"2470 W White Pine Ln, Park City, UT 84060",4,6.0,10286,"$29,950,000",28733324,1216676,2911.7246743146025,https://www.zillow.com/homedetails/2470-W-White-Pine-Ln-Park-City-UT-84060/111975877_zpid/
"1519 S 825th St W, Lehi, UT 84043",8,5.0,4992,"$1,299,000",0,1299000,260.21634615384613,https://www.zillow.com/homedetails/1519-S-825th-St-W-Lehi-UT-84043/2067148308_zpid/
"923 Ledgestone Ln, Heber City, UT 84032",5,5.0,4825,"$1,349,000",0,1349000,279.5854922279793,https://www.zillow.com/homedetails/923-Ledgestone-Ln-Heber-City-UT-84032/2117617885_zpid/
